rank,lb_rank,wallet,name,profit_30d,profit_7d,last_trade_age_h
1,1,0xf8831548531d56ad6a4331493243c447a827cd1f,Inaccuratestake,3944586.45,3944586.45,6.9
2,2,0xb91aeb5accc33a5f9a8615b8ed6b2d352e913987,afghj2421,1314166.89,1314166.89,0.2
3,3,0xa380c504a480f591c7dfbf9944fac3994b9b21ff,JewishNinja,1248294.73,1248294.73,42.2
4,4,0xbee54d90051720e27921dc6874f02d646ffca636,downtownfee,1073898.42,1073898.42,5.7
5,5,0xbddf61af533ff524d27154e589d2d7a81510c684,Countryside,660006.58,660006.58,-0.0
6,6,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,ferrariChampions2026,574105.89,574105.89,-0.0
7,7,0xe16d3f2a5807999b358affd9445c3a09e45e5e30,0xE16D3F2A5807999b358aFfD9445C3a09E45E5e30-1776429210592,526175.34,526175.34,0.0
8,8,0x3d6ac5150675a83e2090234414222e968888c2b5,brightshieldd,397636.63,397636.63,6.5
9,9,0x5268527977f700f9bf9b6d5cd843859e4e70135d,HomeRunHazard,347640.37,347640.37,-0.0
10,10,0xad9c94a65d1f053b8bb31815865a0d4c64b69889,jalenbrunson-official,328322.73,328322.73,39.3
